Institution	Address	Website
Minnesota Historical Society	345 West Kellogg Boulevard St. Paul, MN 55102 (26 locations statewide; call for details)	https://www.mnhs.org/members
Beltrami County Historical Society	130 Minnesota Avenue Southwest Bemidji, MN 56601	https://www.beltramihistory.org
Historical and Cultural Society of Clay County	Hjemkomst Center 202 1st Avenue North Moorhead, MN 56560	https://www.hcscconline.org
Nicollet County Historical Society	1851 North Minnesota Avenue Saint Peter, MN 56082	https://www.nchsmn.org
Steele County Historical Society	1700 Austin Road Owatonna, MN 55060	https://www.schsmn.org/visit-us
Cass County MN Museum and Historical  Society	205 Minnesota Avenue West Walker, MN 56484	https://www.casscountymuseum.org
Probstfield Farm Living History Foundation	4626 Oakport St. N, Moorhead, MN 56560	https://www.probstfieldfarm.org
Crow Wing Historical Society and Museum	320 Laurel St. Brainerd, MN 56401	https://www.crowwinghistory.org
McLeod Country Historical Society	380 School Rd NW Hutchinson, MN 55350	https://mcleodhistory.org
Dakota County Historical Society-Lawshe Memorial Museum	130 3rd Avenue N South St. Paul, MN 55075	https://www.dakotahistory.org/lawshe-memorial-museum#explore-lawshe
Dakota County Historical Society-LeDuc Historic Estate	1629 Vermillion Street Hastings, MN 55033	https://www.dakotahistory.org/leduc-historic-estate
Dakota County Historical Society-Sibley Historic Site	1357 Sibley Memorial Highway Mendota Heights, MN 55150	https://www.dakotahistory.org/sibley-historic-site
Freeborn County Historical Society	1031 Bridge Ave, Albert Lea, MN 56007	https://www.fchmmn.org/
Northfield Historical Society Museum and Historic Bank Site	408 Division St. S.,  Northfield, MN  55057	https://www.northfieldhistory.org/
Hormel Historic Home	208 4th Ave. NW, Austin, MN  55912	https://www.hormelhistorichome.org/
Hennepin History Museum	2303 S 3rd Ave, Minneapolis, MN 55404	https://hennepinhistory.org/
Waseca County History Center	315 Ne 2nd Avenue, Waseca, MN  56093	https://www.historical.waseca.mn.us/
Ramsey County Historical Society	75 W. Fifth St., #323, Saint Paul, MN  55102	https://www.rchs.com/
Gammelg\E5rden Museum of Scandia	20880 Olinda Trail N, Scandia, MN 55073	https://gammelgardenmuseum.org/
Cook County Historical Museum	8 South Broadway, Grand Marais, MN 55604	https://www.cookcountyhistory.org/
Dodge County Historical Society	615 N. Main St, Mantorville, MN 55955	https://dodgecountyhistorical.mn/
History Center of Olmsted County	1195 W Circle Dr SW, Rochester, MN 55902	https://www.olmstedhistory.com/
Union County Heritage Museum	114 Cleveland Street New Albany, MS 38652	https://www.ucheritagemuseum.com
International Museum of Muslim Cultures	201 East Pascagoula St., Jackson, MS  39201	https://muslimmuseum.org/
The Jacques Guibourd Historic House	1 North 4th Street Ste. Genevieve, MO 63670	https://www.visitstegen.com/jacques-guibourd-historic-house/
Joplin Museum Complex	504 South Schifferdecker Avenue PO Box 555 Joplin, MO 64801	https://www.joplinmuseum.org
Missouri History Museum	5700 Lindell Boulvard St. Louis, MO 63112	https://www.mohistory.org
Campbell House Museum	1508 Locust Street St. Louis, MO 63103	https://www.campbellhousemuseum.org
National Churchill Museum	501 Westminster Avenue Fulton, MO 65251	https://www.churchillmemorial.org
Field House Museum	634 South Broadway St. Louis, MO 63102	https://www.fieldhousemuseum.org
Clay County Museum and Historical Society	14 N. Main Street Liberty, MO 64068	https://www.claycountymuseum.org
Soldiers Memorial Military Museum	1315 Chestnut St. St. Louis, MO 63103	https://mohistory.org/memorial
Library & Research Center	225 S. Skinker Blvd. St. Louis, MO 63105	https://mohistory.org/library
History Muesum on the Square	154 Park Central Square, Springfield, MO 65806	https://www.historymuseumonthesquare.org
Carondelet History Museum/Susan Blow's Kindergarten	6303 Michigan Ave, St. Louis, MO 63111	https://www.carondelethistory.org/
Chatillon-DeMenil Mansion	3352 DeMenil Place, St. Louis, MO 63118	https://www.demenil.org
Montana Historical Society	225 North Roberts Street PO Box 201201 Helena, MT 59620	https://mhs.mt.gov/
Granite County Museum and Cultural Center, Inc	135 S. Sansome St. Philipsburg, MT 59858	https://www.granitecountymuseum.com/
Travelers' Rest Preservation & Heritage Association	6717 Highway 12 Lolo, MT 59847	https://www.travelersrest.org
Gallatin History Museum	317 W. Main Bozeman, MT 59715	https://GallatinHistoryMuseum.org
MonDak Heritage Center	120 3rd Ave. SE Sidney, MT 59270	https://mondakheritagecenter.org
The World Museum of Mining	155 Museum Way, Butte, MT 59701	https://www.miningmuseum.org/
The Willa Cather Foundation	413 North Webster Street Red Cloud, NE 68970	https://www.willacather.org
Douglas County Historical Society	5730 North 30th Street 11B Omaha, NE 68111	https://www.douglascohistory.org
Senator George Norris State Historic Site- History Nebraska	706 Norris Ave, McCook, NE 69001	https://history.nebraska.gov/senator-george-norris-state-historic-site/
Neligh Mill State Historic Site- History Nebraska	Wylie Dr, NE 68756	https://history.nebraska.gov/neligh-mill-state-historic-site/
Fort Robinson History Center- History Nebraska	3200 US-20, Crawford, NE 69339	https://history.nebraska.gov/fort-robinson-history-center/
Chimney Rock Museum- History Nebraska	9822 County Rd 75, Bayard, NE 69334	https://history.nebraska.gov/rock/
Nebraska History Museum- History Nebraska	131 Centennial Mall N, Lincoln, NE 68508	https://history.nebraska.gov/museum/
Las Vegas International Scouting Museum	3025 W. Sahara Las Vegas, NV 89102	https://www.worldscoutingmuseum.org
Manchester Historic Association (Millyard Museum)	200 Bedford Street Manchester, NH 03101	https://www.manchesterhistoric.org
The Nashua Historical Society	5 Abbott Street Nashua, NH 03064	https://www.nashuahistoricalsociety.org
Strawbery Banke Museum	14 Hancock Street PO Box 300 Portsmouth, NH 03801	https://www.strawberybanke.org
The Warner House Association	150 Daniel Street PO Box 895 Portsmouth, NH 03802	https://www.warnerhouse.org
Wright Museum of World War II	77 Center Street PO Box 1212 Wolfeboro, NH 03894	https://www.wrightmuseum.org
Remick Country Doctor Museum & Farm	58 Cleveland Hill Rd. Tamworth, NH 03886	https://www.remickmuseum.org
American Independence Museum	1 Governors Ln. Exeter, NH 03833	https://independencemuseum.org
The Historical Society of Moorestown	12 High St. PO Box 477 Moorestown, NJ 08057	https://www.moorestownhistory.org
New Jersey State Museum	205 W. State St.Trenton, NJ 08625	https://www.statemuseum.nj.gov
Historical Society of Princeton	354 Quaker Rd, Princeton, NJ 08540	https://princetonhistory.org/
The Buffalo History Museum	1 Museum Court Buffalo, NY 14216	https://www.buffalohistory.org
New York Transit Museum	99 Schermerhorn Street Brooklyn, NY 11201	https://www.mta.info/museum
Ontario County Historical Society	55 North Main Street Canandaigua, NY 14424	https://www.ochs.org
The Wyckoff Farmhouse Museum	5816 Clarendon Road Brooklyn, NY 11203	https://www.wyckoffmuseum.org
Brooklyn Historical Society	128 Pierrepont Street Brooklyn, NY 11201	https://www.brooklynhistory.org
Hanford Mills Museum	51 County Route 12 PO Box 99 East Meredith, NY 13757	https://www.hanfordmills.org
Buffalo Niagara Heritage Village	3755 Tonawanda Creek Rd. Amherst, NY 14228	https://www.bnhv.org
Dunkirk Historical Society	513 Washington Ave. Dunkirk, NY 14048	https://dunkirkhistoricalmuseum.org
Ulysses S. Grant Cottage State Historic Site	1000 Mt. McGregor Rd. Wilton, NY 12831	https://www.grantcottage.org
Huntington Historical Society	209 Main Street Huntington, NY 11743	https://www.huntingtonhistoricalsociety.org
Graycliff Conservancy	6472 Old Lake Shore Rd. PO Box 823, Derby, NY 14047	https://experiencegraycliff.org
Darwin R. Barker Historical Museum	20 E Main St., Fredonia, NY 14063	https://www.barkermuseum.org/
Lancaster, New York Historical Society & Museum	40 Clark St, Lancaster, Lancaster, NY 14086	www.lancasternyhistoricalsociety.org
Onondaga Historical Association	321 Montgomery St, Syracuse, NY 13202	www.cnyhistory.org
Sharon Historical Society	236 Main Street, Sharon Springs, NY 13459	www.sharonhistoricalsocietyny.org
High Point Museum & Historical Park	1859 East Lexington Avenue High Point, NC 27262	https://www.highpointmuseum.org
Joel Lane Museum House	160 South Saint Mary's Street PO Box 10884 Raleigh, NC 27603	https://www.joellane.org
City of Raleigh (COR) Museum	220 Fayetteville Street Suite 100 Raleigh, NC 27601	https://www.cityofraleighmuseum.org
Preservation Durham	701 W. Main Street, Suite 310PO Box 25411 Durham, NC 27701	https://www.preservationdurham.org
Greensboro Historical Museum	130 Summit Avenue Greensboro, NC 27401	https://www.greensborohistory.org/
Gaston County Museum of Art & History	131 W. Main St. Dallas, NC 28034	https://gastoncountymuseum.org
Museum and Archives of Rockingham County	1086 Hwy 65 Reidsville, NC 27320	https://www.themarconline.org
Museum of the Cherokee Indian	589 Tsali Blvd., Cherokee, NC 28719	www.mci.org
Bonanzaville, Cass County Historical Society	1351 West Main Avenue PO Box 719 West Fargo, ND 58078	https://www.bonanzaville.org
State Historical Society of North Dakota	612 East Boulevard Avenue Bismarck, ND 58505 (12 locations statewide; call for details)	https://www.history.nd.gov
National Buffalo Museum	500 17th St SE, Jamestown, ND 58401	https://www.buffalomuseum.com/
Ohio History Center	800 East 17th Avenue Columbus, OH 43211	https://www.ohiohistory.org
Oberlin Heritage Center	73 South Professor Street PO Box 455 Oberlin, OH 44074	https://www.oberlinheritage.org
Merry-Go-Round Museum	301 Jackson Street Sandusky, OH 44870	https://www.merrygoroundmuseum.org
Cincinnati History Museum at Cincinnati Museum Center	1301 Western Avenue Cincinnati, OH 45203	https://www.cincymuseum.org
Fort Meigs: Ohio's War of 1812 Battlefield	29100 West River Road Perrysberg, OH 43551	https://www.fortmeigs.org
Rutherford B. Hayes Presidential Library & Museums	Spiegel Grove Fremont, OH 43420	https://www.rbhayes.org
Johnston Farm & Indian Agency	9845 North Hardin Road Piqua, OH 45356	https://www.johnstonfarmohio.com
Our House Tavern	432 First Avenue Gallipolis, OH 45631	https://www.ohiohistory.org/ourhouse
Wahkeena Nature Preserve	2200 Pump Station Road Sugar Grove, OH 43155	https://www.ohiohistory.org/wahkeena
Armstrong Air & Space Museum	500 Apollo Drive Wapakoneta, OH 45895	https://www.armstrongmuseum.org
Dennison Railroad Depot Museum	400 Center Street Dennison, OH 44621	https://www.dennisondepot.org
Historic Schoenbrunn Village	1984 East High Avenue New Philadelphia, OH 44663	https://www.ohiohistory.org/visit/museum-and-site-locator/schoenbrunn-village
Uhrichsville Clay Museum	330 North Main Street Uhrichsville, OH 44683	https://ohiolha.org/member_organization/urichsville-clay-museum/
Galion History Center	201 S. Union St. PO Box 125 Galion, OH 44833	https://www.galionhistory.com
Historic Zoar Village	198 Main Street Zoar, OH 44697	https://historiczoarvillage.com
Lake County History Center Museum and Village	415 Riverside Drive Painesville Township, OH 44077	https://www.lakehistory.org
The Museum of Ceramics	400 East Fifth Street East Liverpool, OH 43920	https://www.themuseumofceramics.com
Lorain Historical Society	329 W. 10th St. Lorain, OH 44052	https://www.lorainhistory.org
GAR Hall	1785 Main Street Peninsula, OH 44264	https://peninsulahistory.org
The Works: Ohio Center for History, Art, & Technology	55 S. 1st Street Newark, OH 43055	https://www.attheworks.org
National Council for History Education	13940 Cedar Rd. #393 University Heights, OH 44118	https://www.NCHE.net
Auglaize County Historical Society	206 W Main St Wapakoneta, OH 45895	https://www.auglaizecountyhistory.org
Clark County Historical Society - The Heritage Center	117 South Fountain Ave. Springfield, OH 45502	https://heritage.center/
Baseball Heritage Museum	6601 Lexington Ave. Cleveland, OH 44103	https://www.baseballheritagemuseum.org
Lorain Country Historical Society	509 Washington Ave Elyria, OH 44035	https://www.lchs.org
McKinley Presidential Library and Museum	800 McKinley Monument Dr. NW Canton, Ohio 44708	https://www.mckinleymuseum.org
Historic Roscoe Village	600 N. Whitewoman Street, Coshocton, Ohio 43812	https://www.RoscoeVillage.com
Robbins Hunter Museum	221 E Broadway, Granville, OH 43023	https://www.robbinshunter.org/
Toledo History Museum	425 N St Clair St, Toledo, OH 43604	https://www.toledohistorymuseum.org/
The Cleo Redd Fisher Museum	203 East Main Street, Loudonville, OH 44842	https://www.crfmuseum.com
Granville Historical Society	115 E. Broadway, Granville, OH  43023	https://www.granvillehistory.org/
Decorative Arts Center of Ohio	145 E. Main St., Lancaster, OH  43130	https://www.decartsohio.org/
Hancock Historical Museum	422 W Sandusky St, Findlay, OH 45840	https://hancockhistoricalmuseum.org/
Dunham Tavern Museum & Gardens	6709 Euclid Ave, Cleveland, OH 44103	https://www.dunhamtavern.org/
Piatt Castle Mac-A-Cheek	10051 Township Road 47, West Liberty, OH 43357	www.piattcastle.org
Oklahoma Historical Society	800 Nazih Zuhdi Dr Oklahoma City, OK 73105 (4 locations statewide; call for details)	https://www.okhistory.org
Har-Ber Village Museum	4404 West 20th Grove, OK 74344	https://www.har-bervillage.com
Edmond Historical Society and Museum	431 South Boulevard Edmond, OK 73034	https://www.edmondhistory.org
TIFF	Reitman Square 350 King St. W Toronto, Ontario Canada, AE M5V 3X5	https://www.TIFF.net
Southern Oregon Historical Society	160 North Central Avenue Medford, OR 97501	https://www.sohs.org
Oregon Historical Society	1200 Southwest Park Avenue Portland, OR 97205	https://www.ohs.org
Historic Deepwood Estate	1116 Mission Street Southeast Salem, OR 97302	https://historicdeepwoodestate.org
Willamette Heritage Center	1313 Mill Street Southeast Salem, OR 97301	https://www.willametteheritage.org
Shelton McMurphey Johnson House	303 Williamette St. Off Third and Pearl Eugene, OR 97401	https://www.smjhouse.org
Pendleton Air Museum	21 SW Emigrant Ave. Pendleton, OR 97801	https://www.pendletonairmuseum.org
Heritage Station Museum	108 SW Frazer Ave, Pendleton, OR 97801	https://www.heritagestationmuseum.org/home
Four Rivers Cultural Center & Museum	676 SW 5th Ave., Ontario, OR 97914	https://4rcc.com/
Museum of the Oregon Territory	211 Tumwater Dr., Oregon City, OR 97045	https://www.clackamashistory.org
Cascade Locks Historical Museum	417 SW Portage Rd, Cascade Locks, OR 97014	https://www.cascadelocksmuseum.org/
Oregon Coast Military Museum	2145 Kingwood St., Florence, OR 97439	https://www.oregoncoastmilitarymuseum.com/
The National Civil War Museum	1 Lincoln Circle at Reservoir Park Harrisburg, PA 17103	https://www.nationalcivilwarmuseum.org
The Hershey Story: The Museum on Chocolate Avenue	63 West Chocolate Avenue Hershey, PA 17033	https://www.hersheystory.org
Mercer Museum	84 South Pine Street Doylestown, PA 18901	https://www.mercermuseum.org
The York County History Center	121 N. Pershing Ave York, PA 17401	https://www.yorkheritage.org
Pearl S Buck House	520 Dublin Road Perkasie, PA 18944	https://www.pearlsbuck.org
Heisey House Museum - Clinton County Historical Society	362 East Water Street Lock Haven, PA 17745	https://www.clintonpahistory.org/heisey-house-museum.html
Historical Society of Pennsylvania	1300 Locust Street Philadelphia, PA 19107	https://www.hsp.org
Erie County Historical Society	356 W. Sixth Street St. Erie, PA 16507	https://www.eriehistory.org
The Friends of Valley Forge	1400 N. Outer Line Dr. King of Prussia, PA 19406	https://www.friendsofvalleyforge.org
Quiet Valley Living Historical Farm	347 Quiet Valley Rd. Stroudsburg, PA 18360	https://www.quietvalley.org
Monroe County Historical Association	900 Main Street Stroudburg, PA 18360	https://www.monroehistorical.org
Pennsylvania Heritage Foundation	400 North Street Harrisburg, PA 17120	https://www.paheritage.org
The State Museum of Pennsylvania	300 North St. Harrisburg, PA 17120	https://www.statemuseumpa.org
Goodell Gardens & Homestead	221 Waterford St., Edinboro, PA 16412	https://www.goodellgardens.org
Cumberland County Historical Society	21 N. Pitt St., Carlisle, PA 17013	https://www.historicalsociety.com
Lycoming County Historical Society	858 W. 4th St., Williamsport, PA 17701	https://www.tabermuseum.org/
Pennsylvania Trolley Museum	1 Museum Rd., Washington, PA  15301	https://pa-trolley.org/
Renfrew Museum and Park	1010 E. Main St., Waynesboro, PA 17268	https://www.renfrewmuseum.org/
Chester County History Center	225 N High St, West Chester, PA 19380	https://www.mycchc.org
Penn State All-Sports Museum	1 Beaver Stadium, University Park, PA 16802	https://gopsusports.com/sports/2018/8/8/all-sports-museum-psu-all-sports-museum-html.aspx
Doylestown Historical Society	56 South Main St., Doylestown, PA 1801	https://www.doylestownhistorical.org/
Hanover Area Historical Society	21 Baltimore St., Hanover, PA 17331	https://www.hanoverpahistory.org
Little Compton Historical Society (Wilbor House Museum)	548 West Main Road Little Compton, RI 02837	https://www.littlecompton.org
Westerly Armory Museum	41 Railroad Avenue PO Box 614 Westerly, RI 02891	https://www.westerlyarmory.org
Portsmouth Historical Society	870 East Main Rd. Portsmouth, RI 02871	https://www.portsmouthhistorical.org
Museum of Work & Culture, Rhode Island Historical Society	42 S. Main St. Woonsocket, RI 02895	https://www.rihs.org/museums/museum-of-work-and-culture/
John Brown House Museum, Rhode Island Historical Society	52 Power St. Providence, RI 02906	https://www.rihs.org/museums/john-brown-house/
Upcountry History Museum	540 Buncombe St. Greenville, SC 29601	https://www.upcountryhistory.org
South Carolina Historical Society	100 Meeting St, Charleston, SC 29401	https://schistory.org/
The Center for Western Studies	2121 South Summit Avenue Sioux Falls, SD 57197	https://www.augie.edu/cws
Adams Museum & House	54 Sherman Street 22 Van Buren Street Deadwood, SD 57732	https://DeadwoodHistory.com
South Dakota Agricultural Heritage Museum	977 11th St. Brookings, SD 57007	https://agmuseum.com
Mead Cultural Education Center	82 Mickelson Drive, Yankton, SD 57078	https://www.meadbuilding.org
Tennessee State Museum	1000 Rosa L. Parks Blvd. Nashville, TN 37208	https://www.tnmuseum.org
Customs House Museum & Cultural Center	200 South Second Street Clarksville, TN 37040	https://www.customshousemuseum.org
East Tennessee Historical Society	601 S. Gay Street Knoxville, TN 37901	https://www.easttnhistory.org
Tullahoma Fine Arts Center	401 S. Jackson St., Tullahoma, TN  37388	https://www.northernmuseum.org/
Dallas Historical Society	3939 Grand Avenue Dallas, TX 75210	https://www.dallashistory.org
Museum of the American Railroad	8004 N. Dallas Pkwy. Frisco, TX 75034	https://www.museumoftheamericanrailroad.org
The Heritage Society	1100 Bagby Street Houston, TX 77002	https://www.heritagesociety.org
Witte Museum	3801 Broadway Street San Antonio, TX 78209	https://www.wittemuseum.org
Dallas Heritage Village	1515 S. Harwood Dallas, TX 75215	https://www.dallasheritagevillage.org
Texas State Historical Association	3001 Lake Austin Blvd., Ste. 3.116 Austin, TX 78703	https://www.tshaonline.org
National Museum of the Pacific War, Admiral Nimitz Foundation	340 E. Main St. Fredericksburg, TX 78624	https://www.PacificWarMuseum.org
Houston Fire Museum	2403 Milam Street Houston, TX 77006	https://www.houstonfiremuseum.org/
Pioneer Farms	10621 Pioneer Farms Dr. Austin, TX 78754	https://www.pioneerfarms.org
Museum of the Coastal Bend	Victoria College 2200 East Red River Victoria, TX 77901	https://museumofthecoastalbend.org
Bosque Museum	301 South Ave. Q Clifton, TX 76634	https://bosquemuseum.org
Bob Bullock Texas State History Museum	1800 N. Congress Ave Austin, TX 78701	https://www.thestoryoftexas.com
Taylor County History Center	133 William Street, Buffalo Gap, TX 79508	https://www.taylorcountyhistorycenter.org/
Heritage Musuem of Montgomery County	1506 I-45 N. Feeder PO Box 2262, Conroe, TX 77301	https://www.heritagemuseum.us
Lake Jackson Historical Association	249 Circle Way, Lake Jackson, TX  77566	https://www.ljhistory.org
Czech Center Museum Houston	4920 San Jacinto St, Houston, TX 77004	https://www.czechcenter.org/
Gregg County Historical Museum	214 N Fredonia St, Longview, TX 75601	https://gregghistorical.org/
Museum of Moab	118 East Center Street Moab, UT 84532	https://www.moabmuseum.org
Billings Farm and Museum	69 Old River Rd. Woodstock, VT 05091	https://www.billingsfarm.org
Vermont Historical Society	60 Washington Street Barre, VT 05641	https://www.vermonthistory.org
Vermont Granite Museum	7 Jones Brothers WayBarre, VT 05641	https://www.vtgranitemuseum.org
Fredericksburg Area Museum	907 Princess Anne Street Fredericksburg, VA 22401	https://www.famva.org
The Valentine	1015 East Clay Street Richmond, VA 23219	https://www.thevalentine.org
Fauquier History Museum at the Old Jail	10 Ashby Street Warrenton, VA 20186	https://www.fauquierhistory.org
Rocktown History	382 High St., Dayton, VA  22821	https://www.rocktownhistory.org/
Woodrow Wilson Presidential Library and Museum	20 N. Coalter St., Staunton, VA  24401	https://www.woodrowwilson.org/
Maymont	1700 Hampton St, Richmond, VA 23200	https://maymont.org/
San Juan Historical Museum	405 Price Street PO Box 441 Friday Harbor, WA 98250	https://www.sjmuseum.org
Pearson Air Museum	1115 East 5th Street Vancouver, WA 98661	https://www.nps.gov/fova/learn/historyculture/pearson.htm
Two Rivers Heritage Museum	1 Durgan Street Washougal, WA 98671	https://www.historyfish.net/tworiversheritagemuseum
Washington State History Museum	1911 Pacific Avenue Tacoma, WA 98402	https://www.washingtonhistory.org
Yakima Valley Museum	2105 Tieton Drive Yakima, WA 98902	https://www.yakimavalleymuseum.org
Fort Walla Walla Museum	755 Myra Road Walla Walla, WA 99362	https://www.fwwm.org
Harbor History Museum	4121 Harborview Drive Gig Harbor, WA 98332	https://www.harborhistorymuseum.org/
Fort Nisqually Living History Museum	5400 N. Pearl Suite 11 Tacoma, WA 98407	https://www.fortnisqually.org
Fort Vancouver National Trust	750 Anderson St. Vancouver, WA 98661	https://www.thehistorictrust.org
Fox Island Historical Society	1017 9th Ave PO Box 242 Fox Island, WA 98333	https://foxislandmuseum.org/
Skagit County Historical Museum	501 South 4th St. La Conner, WA 98257	https://www.skagitcounty.net/museum
Orcas Island Historical Museums	181 North Beach Rd. Eastsound, WA 98245	https://www.orcasmuseums.org
Museum of History and Industry	860 Terry Ave. North Seattle, WA 98109	https://www.mohai.org
Lincoln County Museum	600 7th St., Davenport, WA  99122	https://lincolncountymuseums.org/
The Columbia Gorge Interpretive Center Museum	990 SW Rock Creek Drive, Stevenson, WA  98648	https://www.columbiagorge.org/
Kitsap Historical Society & Museum	280 4th St, Bremerton, WA 98337	https://kitsapmuseum.org/
North Franklin Heritage Museum	350 W Adams St, Connell, WA 99326	https://www.connellheritagemuseum.com
Franklin County Historical Society & Museum	3305 N 4th Ave, Pasco, WA 99301	https://franklincountyhistoricalsociety.org/
Kittitas County Historical Museum	114 E 3rd Ave, Ellensburg, WA 98926	https://www.kchm.org
Whatcom Museum	121 Prospect St., Bellingham, WA 98225	https://www.whatcommuseum.org/
Heritage Farm Museum & Village	3300 Harvey Rd. Huntington, WV 25704	https://www.heritagefarmmuseum.com/
Luxembourg American Cultural Center	100 Peter Thein Avenue Belgium, WI 53004	https://www.lacs.lu
Neville Public Museum of Brown County	210 Museum Place Green Bay, WI 54303	https://www.nevillepublicmuseum.org
Hazelwood Historic House Museum/Brown County Historical Society	1008 South Monroe Avenue PO Box 1411 Green Bay, WI 54301	https://www.browncohistoricalsoc.org
Three Lakes Historical Society and Museum	1798 Huron Street Three Lakes, WI 54562	https://www.threelakesmuseum.org
The History Museum at the Castle	330 East College Avenue Appleton, WI 54911	https://www.myhistorymuseum.org
New London Public Museum	406 South Pearl Street New London, WI 54961	https://www.newlondonwi.org/departments/new_london_public_museum.php
Waukesha County Museum	101 West Main Street Waukesha, WI 53186	https://www.waukeshacountymuseum.org
Ephraim Historical Foundation	3060 Anderson Ln. Ephralm, WI 54211	https://www.ephraim.org
Chippewa Valley Museum	1204 East Half Moon Drive PO Box 1204, Eau Claire, Wisconsin 54703	https://cvmuseum.com
Walworth County Historical Society	9 S Broad St., Elkhorn, WI  53121	https://www.walcohistory.org/
Pioneer Village Museum	1866 13 1/2 14th Ave., Cameron, WI  54822	https://www.pioneervillagemuseum.org
Manitowoc County Historical Society	924 Pine Crest Ln., Manitowoc, WI 54220	https://www.manitowoccountyhistory.org/
Door County Historical Society	130 N 4th Avenue, Sturgeon Bay, WI  54235	https://doorcountyhistoricalsociety.org/
